bps_2009,Label,Label_edit,label_final,region_type,provinsi,pulau
1101,01. Simeulue,simeulue,simeulue,kabupaten,aceh,sumatera
1102,02. Aceh Singkil,aceh singkil,aceh singkil,kabupaten,aceh,sumatera
1103,03. Aceh Selatan,aceh selatan,aceh selatan,kabupaten,aceh,sumatera
1104,04. Aceh Tenggara,aceh tenggara,aceh tenggara,kabupaten,aceh,sumatera
1105,05. Aceh Timur,aceh timur,aceh timur,kabupaten,aceh,sumatera
1106,06. Aceh Tengah,aceh tengah,aceh tengah,kabupaten,aceh,sumatera
1107,07. Aceh Barat,aceh barat,aceh barat,kabupaten,aceh,sumatera
1108,08. Aceh Besar,aceh besar,aceh besar,kabupaten,aceh,sumatera
1109,09. Pidie,pidie,pidie,kabupaten,aceh,sumatera
1110,10. Bireuen,bireuen,bireuen,kabupaten,aceh,sumatera
1111,11. Aceh Utara,aceh utara,aceh utara,kabupaten,aceh,sumatera
1112,12. Aceh Barat Daya,aceh barat daya,aceh barat daya,kabupaten,aceh,sumatera
1113,13. Gayo Lues,gayo lues,gayo lues,kabupaten,aceh,sumatera
1114,14. Aceh Tamiang,aceh tamiang,aceh tamiang,kabupaten,aceh,sumatera
1115,15. Nagan Raya,nagan raya,nagan raya,kabupaten,aceh,sumatera
1116,16. Aceh Jaya,aceh jaya,aceh jaya,kabupaten,aceh,sumatera
1117,17. Bener Meriah,bener meriah,bener meriah,kabupaten,aceh,sumatera
1118,18. Pidie Jaya,pidie jaya,pidie jaya,kabupaten,aceh,sumatera
1171,71. Banda Aceh,banda aceh,banda aceh,kota,aceh,sumatera
1172,72. Sabang,sabang,sabang,kota,aceh,sumatera
1173,73. Langsa,langsa,langsa,kota,aceh,sumatera
1174,74. Lhokseumawe,lhokseumawe,lhokseumawe,kota,aceh,sumatera
1175,75. Subulussalam,subulussalam,subulussalam,kota,aceh,sumatera
1201,01. Nias,nias,nias,kabupaten,sumatera utara,sumatera
1202,02. Mandailing Natal,mandailing natal,mandailing natal,kabupaten,sumatera utara,sumatera
1203,03. Tapanuli Selatan,tapanuli selatan,tapanuli selatan,kabupaten,sumatera utara,sumatera
1204,04. Tapanuli Tengah,tapanuli tengah,tapanuli tengah,kabupaten,sumatera utara,sumatera
1205,05. Tapanuli Utara,tapanuli utara,tapanuli utara,kabupaten,sumatera utara,sumatera
1206,06. Toba Samosir,toba samosir,toba samosir,kabupaten,sumatera utara,sumatera
1207,07. Labuhan Batu,labuhan batu,labuhan batu,kabupaten,sumatera utara,sumatera
1208,08. Asahan,asahan,asahan,kabupaten,sumatera utara,sumatera
1209,09. Simalungun,simalungun,simalungun,kabupaten,sumatera utara,sumatera
1210,10. Dairi,dairi,dairi,kabupaten,sumatera utara,sumatera
1211,11. Karo,karo,karo,kabupaten,sumatera utara,sumatera
1212,12. Deli Serdang,deli serdang,deli serdang,kabupaten,sumatera utara,sumatera
1213,13. Langkat,langkat,langkat,kabupaten,sumatera utara,sumatera
1214,14. Nias Selatan,nias selatan,nias selatan,kabupaten,sumatera utara,sumatera
1215,15. Humbang Hasundutan,humbang hasundutan,humbang hasundutan,kabupaten,sumatera utara,sumatera
1216,16. Pakpak Bharat,pakpak bharat,pakpak bharat,kabupaten,sumatera utara,sumatera
1217,17. Samosir,samosir,samosir,kabupaten,sumatera utara,sumatera
1218,18. Serdang Bedagai,serdang bedagai,serdang bedagai,kabupaten,sumatera utara,sumatera
1219,19. Batu Bara,batu bara,batu bara,kabupaten,sumatera utara,sumatera
1220,20. Padang Lawas Utara,padang lawas utara,padang lawas utara,kabupaten,sumatera utara,sumatera
1221,21. Padang Lawas,padang lawas,padang lawas,kabupaten,sumatera utara,sumatera
1222,22. Labuhan Batu Selatan,labuhan batu selatan,labuhan batu selatan,kabupaten,sumatera utara,sumatera
1223,23. Labuhan Batu Utara,labuhan batu utara,labuhan batu utara,kabupaten,sumatera utara,sumatera
1224,24. Nias Utara,nias utara,nias utara,kabupaten,sumatera utara,sumatera
1225,25. Nias Barat,nias barat,nias barat,kabupaten,sumatera utara,sumatera
1271,71. Sibolga,sibolga,sibolga,kota,sumatera utara,sumatera
1272,72. Tanjung Balai,tanjung balai,tanjung balai,kota,sumatera utara,sumatera
1273,73. Pematang Siantar,pematang siantar,pematang siantar,kota,sumatera utara,sumatera
1274,74. Tebing Tinggi,tebing tinggi,tebing tinggi,kota,sumatera utara,sumatera
1275,75. Medan,medan,medan,kota,sumatera utara,sumatera
1276,76. Binjai,binjai,binjai,kota,sumatera utara,sumatera
1277,77. Padangsidimpuan,padangsidimpuan,padangsidimpuan,kota,sumatera utara,sumatera
1278,78. Gunungsitoli,gunungsitoli,gunungsitoli,kota,sumatera utara,sumatera
1301,01. Kepulauan Mentawai,kepulauan mentawai,kepulauan mentawai,kabupaten,sumatera barat,sumatera
1302,02. Pesisir Selatan,pesisir selatan,pesisir selatan,kabupaten,sumatera barat,sumatera
1303,03. Solok,solok,solok,kabupaten,sumatera barat,sumatera
1304,04. Sijunjung,sijunjung,sijunjung,kabupaten,sumatera barat,sumatera
1305,05. Tanah Datar,tanah datar,tanah datar,kabupaten,sumatera barat,sumatera
1306,06. Padang Pariaman,padang pariaman,padang pariaman,kabupaten,sumatera barat,sumatera
1307,07. Agam,agam,agam,kabupaten,sumatera barat,sumatera
1308,08. Lima Puluh Kota,lima puluh kota,lima puluh kota,kabupaten,sumatera barat,sumatera
1309,09. Pasaman,pasaman,pasaman,kabupaten,sumatera barat,sumatera
1310,10. Solok Selatan,solok selatan,solok selatan,kabupaten,sumatera barat,sumatera
1311,11. Dharmasraya,dharmasraya,dharmasraya,kabupaten,sumatera barat,sumatera
1312,12. Pasaman Barat,pasaman barat,pasaman barat,kabupaten,sumatera barat,sumatera
1371,71. Padang,padang,padang,kota,sumatera barat,sumatera
1372,72. Solok,solok,solok,kabupaten,sumatera barat,sumatera
1373,73. Sawah Lunto,sawah lunto,sawah lunto,kota,sumatera barat,sumatera
1374,74. Padang Panjang,padang panjang,padang panjang,kota,sumatera barat,sumatera
1375,75. Bukittinggi,bukittinggi,bukittinggi,kota,sumatera barat,sumatera
1376,76. Payakumbuh,payakumbuh,payakumbuh,kota,sumatera barat,sumatera
